id,Indicativo,HoraDespegue,RutaSACTA,TipoAeronave,Estela,ProcDesp,PistaDesp
894,VLG7844,02/05/2023 21:12:58,DCT DR24LB DCT F34BL DCT BL800 DCT BL805 DCT BL811 DCT BL813 DCT 4105N00320E 009(DIPES) 4101N00332E/N0440F320 012(TOSNU) 030(LAPIT) OSPOK **,A320,Media,-,LEBL-24L
895,FDX6372,02/05/2023 21:14:14,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI BL815 BL816 OLOXO **,B752,Pesada,OLOXO1Q,LEBL-24L
896,SWN6LC,02/05/2023 21:21:11,DR24LB F34BL BL800 BL805 BL812 DALIN BGR KANIG **,B738,Media,DALIN4Q,LEBL-24L
897,EIN56V,02/05/2023 21:24:01,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A320,Media,NATPI2Q,LEBL-24L
898,AAR512,02/05/2023 21:30:54,DR24RB BL831 DUQQI BL815 BL824 BL826 BL827 DIPES TOSNU LAPIT DCT OSPOK **,B772,Pesada,DIPES1D,LEBL-24R
899,HAT6129,02/05/2023 21:34:55,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VLA BL814 LRD GRAUS POSSY MARIO SURCO XOMBO RONNY RONKO GOSVI TURPU PPN 08PPN IF33PP PAP TH33PP,B737,Media,GRAUS5Q,LEBL-24L
900,VLG606P,02/05/2023 21:38:31,DCT DR24LB DCT F34BL DCT BL800 DCT BL805 DCT BL811 DCT BL813 024(DIPES) 012(TOSNU) 030(LAPIT) OSPOK **,A20N,Media,-,LEBL-24L
901,RYR7WN,02/05/2023 21:42:42,DR24LB F34BL PERAL BL801 BL802 BL803 DUQQI VIBOK NATPI **,A320,Media,NATPI2Q,LEBL-24L
902,WZZ8QQ,02/05/2023 21:55:52,DR24LB F34BL BL800 BL805 BL811 BL813 DIPES TOSNU LAPIT OSPOK **,A21N,Media,DIPES1Q,LEBL-24L
903,IBE2601,02/05/2023 23:52:37,DR06RB F01BL BL700 BL720 TASOS BL721 F31BL LOTOS TORDU DCT 4001N00025E 005(DIKUT) 015(SOPET) 030(VLC) 028(BEGOX) 022(NARGO) RESTU DOSEK DCT AMR DCT BOLKA GONZA BERUM **,A332,Pesada,LOTOS3R,LEBL-06R
